CID,anionE_H,dianionE_H,dE_eV,SM_H,conformer,adductE_H,adduct_complete,filename,dE_addCO2_H,lnKco2,logKco2,,,,,,,,
12444,-3259.418474,-3259.519657,2.75333925,-3448.032256,1,-3448.081377,TRUE,12444_1.log,-0.029826481,31.59724083,13.7200351,,,,,,,,
124869,-953.3078601,-953.4044798,2.629157305,-1141.91708,1,-1142.005115,TRUE,124869_1.log,-0.068741681,72.82278622,31.6208364,,,,,,,,
125095,-1146.326357,-1146.422653,2.620357138,-1334.935253,1,-1335.025243,TRUE,125095_1.log,-0.070695681,74.89279269,32.51966682,,,,,,,,
125152,-1182.001805,-1182.092694,2.473225098,-1370.605294,1,-1370.717766,TRUE,125152_1.log,-0.093178081,98.70994388,42.86146065,,,,,,,,
125243,-1073.437422,-1073.527888,2.461714676,-1262.040488,1,-1262.132663,TRUE,125243_1.log,-0.072880481,77.20730146,33.52466412,,,,,,,,
12548,-1028.511977,-1028.606072,2.560464846,-1217.118672,0,-1217.197493,TRUE,12548_0.log,-0.059527381,63.06144508,27.38230355,,,,,,,,
125496,-2028.001244,-2028.134222,3.618525713,-2216.646821,1,-2216.590028,TRUE,125496_1.log,0.076087019,-80.6042075,-34.99965588,,,,,,,,
125571,-915.2122831,-915.3118171,2.708459488,-1103.824417,1,-1103.904106,TRUE,125571_1.log,-0.060395581,63.981189,27.7816713,,,,,,,,
125572,-1030.914419,-1031.011986,2.654942827,-1219.524586,1,-1219.609695,TRUE,125572_1.log,-0.065815481,69.72286149,30.27479874,,,,,,,,
125573,-954.4794099,-954.5779997,2.682766484,-1143.0906,0,-1143.159945,TRUE,125573_0.log,-0.050051281,53.02276121,23.02334399,,,,,,,,
125585,-1107.022646,-1107.11304,2.459755455,-1295.62564,0,-1295.725123,TRUE,125585_0.log,-0.080188981,84.94969771,36.8865383,,,,,,,,
125727,-1091.446959,-1091.547759,2.742917283,-1280.060359,0,-1280.140785,TRUE,125727_0.log,-0.061132781,64.76215561,28.12077968,,,,,,,,
125814,-495.832876,-495.937267,2.840625257,-684.4498668,1,-684.5070169,TRUE,125814_1.log,-0.037856181,40.1036538,17.41365775,,,,,,,,
126037,-1108.05582,-1108.159762,2.828415502,-1296.672361,0,-1296.730744,TRUE,126037_0.log,-0.039089081,41.40974948,17.98078571,,,,,,,,
126038,-1147.316772,-1147.418859,2.777938355,-1335.931459,2,-1335.986686,TRUE,126038_2.log,-0.035933281,38.0665937,16.52913317,,,,,,,,
126071,-995.973483,-996.078088,2.846448497,-1184.590688,0,-1184.63155,TRUE,126071_0.log,-0.021568281,22.84876211,9.921303567,,,,,,,,
126072,-1071.157336,-1071.254179,2.635241774,-1259.766779,1,-1259.83016,TRUE,126072_1.log,-0.044087081,46.70447432,20.27984122,,,,,,,,
126073,-1071.152197,-1071.268193,3.156421718,-1259.780793,0,-1259.824626,TRUE,126073_0.log,-0.024539181,25.99604063,11.28790301,,,,,,,,
126249,-1042.174815,-1042.266685,2.499919481,-1230.779285,0,-1230.853968,TRUE,126249_0.log,-0.055389481,58.67788328,25.47888983,,,,,,,,
126726,-1067.753234,-1067.846003,2.52438253,-1256.358603,0,-1256.450821,TRUE,126726_0.log,-0.072924181,77.25359587,33.5447659,,,,,,,,
126777,-1202.847453,-1202.95362,2.888960867,-1391.46622,2,-1391.543788,TRUE,126777_2.log,-0.058273981,61.73363233,26.80574569,,,,,,,,
127009,-1076.926976,-1077.02822,2.754999145,-1265.54082,1,-1265.597673,TRUE,127009_1.log,-0.037559181,39.78902129,17.2770392,,,,,,,,
127172,-1112.608131,-1112.707155,2.694589837,-1301.219755,1,-1301.294381,TRUE,127172_1.log,-0.055332581,58.6176052,25.45271611,,,,,,,,
127173,-1067.772847,-1067.863745,2.473470001,-1256.376344,0,-1256.478981,TRUE,127173_0.log,-0.083342781,88.29073476,38.33727085,,,,,,,,
127481,-705.6912952,-705.7862041,2.582604041,-894.2988039,0,-894.3656311,TRUE,127481_0.log,-0.047533281,50.35527078,21.86507633,,,,,,,,
