PUBCHEM_COMPOUND_CID,PUBCHEM_IUPAC_SYSTEMATIC_NAME,SMILES,SAscore,RAscore,Combined_Score
11616405,"(4bR)-4b,8,8-trimethyl-1-oxidanyl-2-propan-2-yl-6,7-dihydro-5H-fluorene-3,4-dione",CC(C)C1=C(O)C2=C(C(=O)C1=O)[C@]1(C)CCCC(C)(C)C1=C2,3.925,0.808000028,0.545400019
11666582,"2,3-bis(2-trimethylsilylethynyl)cyclohexa-2,5-diene-1,4-dione",C[Si](C)(C)C#CC1=C(C#C[Si](C)(C)C)C(=O)C=CC1=O,3.616,0.964999974,0.684506648
11722908,"6-(phenylsulfinyl)benzo[7]annulene-1,4,7-trione",O=C1C=CC(=O)c2cc(S(=O)c3ccccc3)c(=O)ccc21,3.211,0.931999981,0.703038653
12051549,"(3S)-7-bromanyl-3-methyl-3,4-dihydroisochromene-1,5,8-trione",C[C@H]1CC2=C(C(=O)O1)C(=O)C(Br)=CC2=O,3.619,0.702000022,0.497718016
12051589,"4-[3,5,7-tris(oxidanyl)-4-oxidanylidene-chromen-2-yl]cyclohexa-3,5-diene-1,2-dione",O=C1C=CC(c2oc3cc(O)cc(O)c3c(=O)c2O)=CC1=O,2.979,0.907000005,0.707560782
12062623,"ethyl 3-methyl-4,7-bis(oxidanylidene)-5-propanoyl-1-benzothiophene-2-carboxylate",CCOC(=O)c1sc2c(c1C)C(=O)C(C(=O)CC)=CC2=O,3.005,0.841000021,0.653643905
12194831,"4-ethanoylcyclohexa-3,5-diene-1,2-dione",CC(=O)C1=CC(=O)C(=O)C=C1,2.766,0.976000011,0.78448712
12194832,"3,4-bis(oxidanylidene)cyclohexa-1,5-diene-1-carbonitrile",N#CC1=CC(=O)C(=O)C=C1,3.091,0.925999999,0.710859333
12194833,"3,4-bis(oxidanylidene)cyclohexa-1,5-diene-1-carboxamide",NC(=O)C1=CC(=O)C(=O)C=C1,2.811,0.970000029,0.774814467
12194843,"methyl 2-methoxy-3,4-bis(oxidanylidene)cyclohexa-1,5-diene-1-carboxylate",COC(=O)C1=C(OC)C(=O)C(=O)C=C1,2.912,0.976999998,0.769441776
12250780,"2-(phenylsulfonyl)cyclohexa-2,5-diene-1,4-dione",O=C1C=CC(=O)C(S(=O)(=O)c2ccccc2)=C1,2.358,0.414000005,0.351532004
12250781,"2-(4-methylphenyl)sulfonylcyclohexa-2,5-diene-1,4-dione",Cc1ccc(S(=O)(=O)C2=CC(=O)C=CC2=O)cc1,2.378,0.416000009,0.352305785
12316586,"3-chloranyl-4-ethanoyl-naphthalene-1,2-dione",CC(=O)C1=C(Cl)C(=O)C(=O)c2ccccc21,2.37,0.860000014,0.729088901
12316592,"3-chloranyl-4-decanoyl-naphthalene-1,2-dione",CCCCCCCCCC(=O)C1=C(Cl)C(=O)C(=O)c2ccccc21,2.36,0.851000011,0.722404454
12316606,"3-bromanyl-4-(3-methylbutanoyl)naphthalene-1,2-dione",CC(C)CC(=O)C1=C(Br)C(=O)C(=O)c2ccccc21,2.555,0.809000015,0.66922279
12318059,"4,5-bis(chloranyl)-2-(1H-indol-3-yl)-3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1-carbonitrile",N#CC1=C(c2c[nH]c3ccccc23)C(=O)C(Cl)=C(Cl)C1=O,2.76,0.809000015,0.650795568
12347912,"[6,7-dimethyl-4-oxidanyl-5,8-bis(oxidanylidene)naphthalen-2-yl] benzoate",CC1=C(C)C(=O)c2c(O)cc(OC(=O)c3ccccc3)cc2C1=O,2.261,0.963999987,0.828932877
12353739,"3,4-bis(bromanyl)-6-tert-butyl-cyclohexa-3,5-diene-1,2-dione",CC(C)(C)C1=CC(Br)=C(Br)C(=O)C1=O,3.136,0.848999977,0.647503983
12365765,"2,6-bis(sulfanylidene)-[1,3]dithiolo[4,5-f][1,3]benzodithiole-4,8-dione",O=C1c2sc(=S)sc2C(=O)c2sc(=S)sc21,4.058,0.386000007,0.254845783
12365776,"2-sulfanylidenebenzo[f][1,3]benzodithiole-4,9-dione",O=C1c2ccccc2C(=O)c2sc(=S)sc21,2.806,0.800999999,0.640265999
12389896,"2,5-bis(chloranyl)-3-methyl-6-(3-phenylmethoxyprop-1-ynyl)cyclohexa-2,5-diene-1,4-dione",CC1=C(Cl)C(=O)C(C#CCOCc2ccccc2)=C(Cl)C1=O,2.862,0.855000019,0.678110015
12429819,"diethyl 1,4-bis(oxidanylidene)naphthalene-2,3-dicarboxylate",CCOC(=O)C1=C(C(=O)OCC)C(=O)c2ccccc2C1=O,2.248,0.731999993,0.630495994
12488296,"2-methyl-5-[oxidanyl(diphenyl)methyl]cyclohexa-2,5-diene-1,4-dione",CC1=CC(=O)C(C(O)(c2ccccc2)c2ccccc2)=CC1=O,2.468,0.885999978,0.741483537
12528130,"4,5-dipropoxycyclohexa-3,5-diene-1,2-dione",CCCOC1=CC(=O)C(=O)C=C1OCCC,2.699,0.896000028,0.726855134
12598823,"dimethyl 3,6-bis(oxidanylidene)cyclohexa-1,4-diene-1,2-dicarboxylate",COC(=O)C1=C(C(=O)OC)C(=O)C=CC1=O,2.581,0.906000018,0.746846015
12623938,"dimethyl 9,10-bis(oxidanylidene)phenanthrene-1,8-dicarboxylate",COC(=O)c1cccc2c1C(=O)C(=O)c1c(C(=O)OC)cccc1-2,2.211,0.796000004,0.688893781
12660251,"2,3,5,6-tetrakis(chloranyl)naphthalene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)c2c1ccc(Cl)c2Cl,2.478,0.899999976,0.75219998
