CID,HOMO,HOMO-1,delta_orbs
10125440,-0.09073,-0.20069,0.10996
10125493,-0.09429,-0.1978,0.10351
10125866,-0.09808,-0.20213,0.10405
101261,-0.1255,-0.229,0.1035
10130199,-0.09349,-0.18565,0.09216
10130467,-0.10322,-0.19532,0.0920999999999999
10130780,-0.08843,-0.18703,0.0986
10130968,-0.10345,-0.20162,0.09817
10131030,-0.1082,-0.19021,0.0820099999999999
10131058,-0.08742,-0.18818,0.1007599999999999
10131107,-0.09574,-0.19077,0.0950299999999999
101355,-0.10587,-0.18641,0.0805399999999999
101405,-0.08709,-0.1876,0.1005099999999999
10141,-0.10416,-0.19332,0.0891599999999999
10148,-0.09166,-0.1954,0.1037399999999999
10149,-0.08674,-0.18657,0.09983
10149918,-0.09778,-0.20176,0.1039799999999999
10150,-0.08985,-0.19362,0.1037699999999999
10151,-0.08908,-0.19332,0.1042399999999999
10152,-0.08962,-0.19409,0.10447
10154120,-0.10007,-0.19337,0.0932999999999999
10163,-0.08882,-0.19264,0.10382
10166,-0.11258,-0.1903,0.07772
10168,-0.10431,-0.21287,0.10856
10169,-0.10652,-0.20648,0.09996
10171931,-0.09395,-0.18777,0.0938199999999999
10172106,-0.094,-0.18897,0.09497
10176277,-0.08337,-0.1793,0.0959299999999999
10176360,-0.12193,-0.19477,0.07284
10193245,-0.11299,-0.1791,0.06611
10197967,-0.10976,-0.20705,0.09729
10198501,-0.13246,-0.18943,0.0569699999999999
10198526,-0.10336,-0.19198,0.08862
10198899,-0.12159,-0.21411,0.0925199999999999
10199066,-0.1031,-0.20098,0.09788
10205,-0.09192,-0.19213,0.10021
10207,-0.1251,-0.21341,0.08831
10208,-0.12349,-0.19066,0.06717
10219628,-0.09522,-0.19201,0.0967899999999999
10219860,-0.08503,-0.18987,0.10484
10219885,-0.08496,-0.17701,0.09205
10219973,-0.08927,-0.19915,0.1098799999999999
10221,-0.09719,-0.18272,0.08553
10221233,-0.09778,-0.17878,0.0809999999999999
10221279,-0.12801,-0.20083,0.07282
1024,-0.11792,-0.20506,0.08714
10241397,-0.11984,-0.18494,0.0650999999999999
10241683,-0.09585,-0.18981,0.09396
10241970,-0.09682,-0.19935,0.10253
10242647,-0.09208,-0.19597,0.10389
10242873,-0.09246,-0.18487,0.09241
10243534,-0.09371,-0.17534,0.08163
10243623,-0.13176,-0.21474,0.08298
10243774,-0.0974,-0.20168,0.10428
10243870,-0.10087,-0.20016,0.09929
10243967,-0.09588,-0.19955,0.10367
10244017,-0.088,-0.19252,0.10452
10244113,-0.09398,-0.19823,0.10425
10244129,-0.08742,-0.17973,0.09231
10244130,-0.08548,-0.17846,0.09298
10244637,-0.10602,-0.20381,0.0977899999999999
10244888,-0.10962,-0.18413,0.0745099999999999
10244984,-0.10479,-0.20729,0.1025
10245003,-0.09121,-0.17491,0.0837
10245207,-0.11041,-0.19028,0.07987
10245274,-0.09815,-0.18566,0.0875099999999999
10245310,-0.09081,-0.1887,0.09789
10245671,-0.10929,-0.20229,0.093
10245707,-0.11481,-0.20136,0.08655
10245744,-0.09713,-0.18776,0.09063
10245818,-0.09177,-0.18539,0.09362
10245922,-0.13718,-0.19831,0.0611299999999999
10245999,-0.09969,-0.20041,0.10072
10246062,-0.10977,-0.21003,0.1002599999999999
10246267,-0.10964,-0.21431,0.10467
10246388,-0.12248,-0.21214,0.0896599999999999
10246498,-0.07352,-0.19587,0.1223499999999999
10246965,-0.09238,-0.18336,0.0909799999999999
10247140,-0.12238,-0.17446,0.05208
10261969,-0.1039,-0.18181,0.07791
10262591,-0.09738,-0.18893,0.0915499999999999
10262745,-0.12297,-0.19885,0.07588
10262817,-0.0897,-0.19598,0.1062799999999999
10263029,-0.10618,-0.18637,0.08019
10263236,-0.13313,-0.21278,0.07965
10263325,-0.09435,-0.19097,0.09662
10263716,-0.11821,-0.20483,0.08662
10263857,-0.11375,-0.19178,0.07803
10263918,-0.11902,-0.2087,0.08968
10263919,-0.10499,-0.20411,0.09912
10263921,-0.1007,-0.19425,0.09355
10264023,-0.10722,-0.18684,0.07962
10264366,-0.0969,-0.19916,0.10226
10264369,-0.10051,-0.20617,0.1056599999999999
10264372,-0.09695,-0.18332,0.08637
10264380,-0.0944,-0.18784,0.09344
10264881,-0.09131,-0.18242,0.09111
10264897,-0.09606,-0.19475,0.09869
10265002,-0.08792,-0.19364,0.10572
10265009,-0.09926,-0.1984,0.0991399999999999
10265118,-0.09043,-0.20062,0.11019
10265126,-0.09444,-0.17613,0.08169
10265129,-0.10594,-0.1878,0.0818599999999999
10265148,-0.11427,-0.18358,0.06931
10265291,-0.11536,-0.19734,0.0819799999999999
10265646,-0.09414,-0.19201,0.0978699999999999
10265794,-0.08826,-0.18712,0.09886
10265831,-0.09536,-0.1861,0.0907399999999999
10265833,-0.09247,-0.1964,0.10393
10265990,-0.09864,-0.18514,0.0865
10265992,-0.06026,-0.18406,0.1238
10266219,-0.0834,-0.19659,0.1131899999999999
10266560,-0.12453,-0.2251,0.1005699999999999
10266680,-0.11657,-0.19772,0.08115
10266690,-0.08425,-0.17772,0.0934699999999999
10266725,-0.11163,-0.18875,0.07712
10266796,-0.09703,-0.17748,0.08045
10267010,-0.0906,-0.19498,0.1043799999999999
10267060,-0.10291,-0.20018,0.09727
10267131,-0.12812,-0.20637,0.0782499999999999
10267265,-0.10299,-0.18303,0.08004
10267275,-0.09873,-0.19149,0.09276
10267445,-0.09056,-0.19202,0.10146
10267558,-0.12349,-0.21245,0.08896
10267704,-0.12568,-0.19605,0.07037
10267843,-0.1107,-0.16554,0.0548399999999999
10268052,-0.09406,-0.19212,0.09806
10268224,-0.10581,-0.20635,0.10054
10268443,-0.12989,-0.19484,0.06495
10281,-0.08831,-0.18229,0.09398
10286616,-0.10218,-0.18572,0.0835399999999999
10313314,-0.10504,-0.19696,0.09192
10313663,-0.12451,-0.20322,0.07871
10313899,-0.10469,-0.20253,0.0978399999999999
10313901,-0.12205,-0.21121,0.08916
10313980,-0.10887,-0.20198,0.09311
10314413,-0.10949,-0.1882,0.07871
10314551,-0.09934,-0.19988,0.10054
10314575,-0.1142,-0.20518,0.09098
10314713,-0.08449,-0.17474,0.09025
10314740,-0.10804,-0.1982,0.0901599999999999
10314815,-0.09921,-0.19206,0.09285
10315599,-0.09821,-0.20038,0.10217
10315604,-0.08981,-0.19687,0.1070599999999999
103229,-0.09155,-0.19068,0.0991299999999999
10330355,-0.09714,-0.19747,0.10033
10331421,-0.09556,-0.20579,0.11023
10331425,-0.09103,-0.19093,0.0998999999999999
10331660,-0.10596,-0.20534,0.09938
10331844,-0.10222,-0.20705,0.10483
10331961,-0.09552,-0.17905,0.08353
10332243,-0.11283,-0.19814,0.08531
10332320,-0.09617,-0.17914,0.0829699999999999
10332720,-0.11103,-0.20867,0.0976399999999999
10332722,-0.08954,-0.19582,0.10628
10332818,-0.10958,-0.19718,0.0876
10332864,-0.10414,-0.20817,0.10403
10332916,-0.08248,-0.17234,0.08986
10333139,-0.09867,-0.19259,0.09392
10333335,-0.08383,-0.17592,0.0920899999999999
10333591,-0.10547,-0.20074,0.09527
10333594,-0.09645,-0.1935,0.09705
10333648,-0.10732,-0.19898,0.0916599999999999
10334119,-0.08693,-0.19248,0.10555
10334164,-0.08689,-0.19169,0.1048
10334344,-0.10139,-0.18684,0.08545
10334544,-0.05994,-0.17992,0.11998
10334621,-0.10033,-0.19264,0.09231
10334772,-0.09625,-0.19871,0.10246
10335069,-0.09885,-0.18881,0.08996
10335304,-0.09993,-0.20858,0.1086499999999999
10335508,-0.11286,-0.16684,0.0539799999999999
10335673,-0.09926,-0.19203,0.09277
10335762,-0.10884,-0.20025,0.09141
10336233,-0.0982,-0.19394,0.09574
10336256,-0.09237,-0.19319,0.10082
10336479,-0.09367,-0.19855,0.10488
10337020,-0.10579,-0.2155,0.10971
10337076,-0.11495,-0.19908,0.08413
10337260,-0.09336,-0.18674,0.0933799999999999
10337423,-0.12873,-0.19008,0.0613499999999999
10337443,-0.0891,-0.17943,0.09033
10337529,-0.13411,-0.22062,0.08651
10337616,-0.09307,-0.17704,0.08397
10337791,-0.08481,-0.18819,0.10338
10337794,-0.11026,-0.17883,0.0685699999999999
10352227,-0.09799,-0.18472,0.08673
10352532,-0.12204,-0.18269,0.0606499999999999
10352694,-0.09693,-0.19886,0.10193
10353030,-0.10228,-0.20361,0.10133
10353323,-0.08655,-0.18916,0.1026099999999999
10353787,-0.09497,-0.19326,0.0982899999999999
10354180,-0.09764,-0.18985,0.0922099999999999
10354307,-0.08983,-0.1894,0.09957
10354557,-0.08763,-0.17867,0.09104
10354630,-0.09691,-0.18146,0.08455
10355035,-0.09503,-0.17903,0.0839999999999999
10355036,-0.08968,-0.19324,0.10356
10355145,-0.09189,-0.19543,0.10354
10355329,-0.10123,-0.20072,0.09949
10355530,-0.12142,-0.19434,0.07292
10355548,-0.10304,-0.18119,0.0781499999999999
10355655,-0.09116,-0.17865,0.08749
10355708,-0.08588,-0.19056,0.10468
10356648,-0.10276,-0.19535,0.0925899999999999
10356869,-0.09514,-0.18597,0.09083
10357232,-0.08932,-0.18152,0.0921999999999999
10357247,-0.09472,-0.19067,0.09595
10357253,-0.11594,-0.21093,0.09499
10357257,-0.09245,-0.19235,0.0998999999999999
10357528,-0.14384,-0.22279,0.0789499999999999
10357533,-0.09322,-0.19214,0.09892
10357536,-0.10607,-0.21105,0.1049799999999999
10357543,-0.09656,-0.19136,0.0948
10357654,-0.0958,-0.17678,0.08098
10357667,-0.08595,-0.18444,0.09849
10358086,-0.08858,-0.18688,0.0982999999999999
10358140,-0.0936,-0.17715,0.08355
10358253,-0.09617,-0.189,0.09283
10358369,-0.09117,-0.18577,0.0945999999999999
10358563,-0.09915,-0.19495,0.0958
10358626,-0.08993,-0.18839,0.09846
10358641,-0.08964,-0.18137,0.09173
10358679,-0.09825,-0.18441,0.0861599999999999
10358776,-0.08621,-0.1889,0.10269
10358895,-0.0918,-0.1928,0.1009999999999999
10359253,-0.09006,-0.19863,0.10857
10359290,-0.09565,-0.17562,0.07997
10359394,-0.09547,-0.19496,0.09949
10359550,-0.10549,-0.18629,0.0808
10359712,-0.11115,-0.19615,0.0849999999999999
10359839,-0.08433,-0.17842,0.09409
10360004,-0.12538,-0.23755,0.11217
10360067,-0.11394,-0.21555,0.1016099999999999
10360120,-0.09293,-0.18348,0.09055
10360277,-0.11739,-0.19504,0.07765
10360368,-0.10294,-0.20848,0.10554
10376193,-0.09131,-0.18422,0.0929099999999999
10376242,-0.08787,-0.17179,0.08392
10376954,-0.09744,-0.20098,0.10354
10376959,-0.09162,-0.19668,0.10506
10377071,-0.06453,-0.19669,0.13216
10377150,-0.09011,-0.183,0.09289
10377240,-0.10564,-0.19886,0.09322
10377412,-0.09344,-0.18809,0.09465
10377838,-0.09366,-0.18959,0.09593
10378228,-0.08797,-0.18597,0.0979999999999999
